zip_code,total_population,percent_white,percent_black,percent_asian,percent_hispanic,per_capita_income,median_age,total_households
00601,18450,1.0,0.0,0.0,99.0,7380.0,36.6,5972
00602,41302,4.0,0.0,0.0,94.0,8463.0,38.6,12968
00603,53683,2.0,0.0,0.0,96.0,9176.0,38.9,18674
00606,6591,0.0,0.0,0.0,100.0,6383.0,37.3,1915
00610,28963,1.0,0.0,0.0,99.0,7892.0,39.2,9404
00612,68055,0.0,0.0,0.0,100.0,10188.0,38.5,22971
00616,10183,0.0,0.0,0.0,100.0,8767.0,40.9,3636
00617,24879,1.0,0.0,0.0,99.0,7939.0,36.2,8352
00622,6165,2.0,0.0,0.0,98.0,8751.0,42.0,2557
00623,44704,0.0,0.0,0.0,100.0,9326.0,39.7,14558
00624,25340,1.0,0.0,0.0,99.0,6761.0,34.2,8216
00627,34806,0.0,0.0,0.0,99.0,9112.0,37.9,11934
00631,1747,3.0,0.0,0.0,97.0,6561.0,43.9,657
00637,24996,1.0,0.0,0.0,99.0,8045.0,38.8,7088
00638,18742,0.0,0.0,0.0,100.0,6526.0,37.2,6018
00641,30401,0.0,0.0,0.0,99.0,7479.0,38.7,9540
00646,38303,2.0,0.0,0.0,98.0,14374.0,37.5,12360
00647,5640,2.0,0.0,0.0,98.0,7384.0,41.3,1791
00650,14969,0.0,0.0,0.0,100.0,7038.0,36.2,5017
00652,3461,1.0,0.0,0.0,99.0,9406.0,40.1,1390
00653,13461,1.0,0.0,0.0,99.0,6465.0,36.6,3664
00656,21172,0.0,0.0,0.0,100.0,7534.0,36.5,6612
00659,41932,0.0,0.0,0.0,99.0,9428.0,37.9,14337
00660,17151,1.0,0.0,0.0,98.0,10609.0,42.4,6418
00662,43535,1.0,0.0,0.0,99.0,8124.0,38.4,14620
00664,16508,0.0,0.0,0.0,100.0,7841.0,33.9,4846
00667,25797,0.0,0.0,0.0,100.0,6763.0,39.6,8494
00669,28984,0.0,0.0,0.0,100.0,6600.0,37.7,9735
