City,State,Population,Land_Area,Population_Density
New York City,New York,8336817.0,301.5,28317.0
Los Angeles,California,3979576.0,468.7,8484.0
Chicago,Illinois,2693976.0,227.3,11900.0
Houston,Texas,2320268.0,637.5,3613.0
Phoenix,Arizona,1680992.0,517.6,3120.0
Philadelphia,Pennsylvania,1584064.0,134.2,11683.0
San Antonio,Texas,1547253.0,461.0,3238.0
San Diego,California,1423851.0,325.2,4325.0
Dallas,Texas,1343573.0,340.9,3866.0
San Jose,California,1021795.0,177.5,5777.0
Austin,Texas,978908.0,312.7,3031.0
Jacksonville,Florida,911507.0,747.4,1178.0
Fort Worth,Texas,909585.0,342.9,2491.0
Columbus,Ohio,898553.0,218.5,3936.0
Charlotte,North Carolina,885708.0,305.4,2757.0
San Francisco,California,881549.0,46.9,18569.0
Indianapolis,Indiana,876384.0,361.5,2366.0
Seattle,Washington,753675.0,83.8,8405.0
Denver,Colorado,727211.0,153.3,4521.0
Washington,District of Columbia,705749.0,61.1,11148.0
Boston,Massachusetts,692600.0,48.3,13938.0
El Paso,Texas,681728.0,256.8,2660.0
Nashville,Tennessee,670820.0,475.9,1388.0
Detroit,Michigan,670031.0,138.8,4847.0
Oklahoma City,Oklahoma,655057.0,606.3,1053.0
Portland,Oregon,654741.0,133.5,4793.0
Las Vegas,Nevada,651319.0,134.4,4709.0
Memphis,Tennessee,651073.0,317.4,2056.0
Louisville,Kentucky,617638.0,263.5,2339.0
Baltimore,Maryland,593490.0,80.9,7598.0
Milwaukee,Wisconsin,590157.0,96.2,6186.0
Albuquerque,New Mexico,560513.0,188.2,2972.0
Tucson,Arizona,548073.0,230.8,2299.0
Fresno,California,531576.0,114.4,4563.0
Mesa,Arizona,518012.0,137.9,3514.0
Sacramento,California,513624.0,97.9,5059.0
Atlanta,Georgia,506811.0,133.5,3539.0
Kansas City,Missouri,495327.0,315.0,1528.0
Colorado Springs,Colorado,478221.0,195.6,2378.0
Omaha,Nebraska,478192.0,133.2,3356.0
Raleigh,North Carolina,474069.0,145.1,3163.0
Miami,Florida,467963.0,36.0,12599.0
Long Beach,California,462628.0,50.3,9347.0
Virginia Beach,Virginia,449974.0,244.7,1850.0
Oakland,California,433031.0,55.9,7514.0
Minneapolis,Minnesota,429606.0,54.0,7660.0
Tulsa,Oklahoma,401190.0,196.8,2048.0
